date,rank_type,rank,topic_id,platform,match_id,event_id,event_title,category,current_status,importance_score,attention_score,ignored_score,risk_reward_score,risk_score,implied_yes_probability,recommendation_track,recommended_action,cancel_condition,copy_angle,affiliate_url
2026-06-12,most_watched,1,c140984a9b92cd41,polymarket,,,Will Czechia win the 2026 FIFA World Cup?,champion_or_outright,hot,99.94,99.94,44.42,45.33,48.0,0.002,upside,观察高盈亏比,"Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",Czechia is a high-attention market; use it as the day's consensus benchmark.,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-12,most_watched,2,db13bf89ada654fb,polymarket,,,Will Algeria win the 2026 FIFA World Cup?,champion_or_outright,hot,98.94,98.94,44.77,45.52,48.0,0.002,upside,观察高盈亏比,"Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",Algeria is a high-attention market; use it as the day's consensus benchmark.,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-12,most_watched,3,958011fb3784bf69,polymarket,,,Will Paraguay win the 2026 FIFA World Cup?,champion_or_outright,hot,98.93,98.93,44.78,45.53,48.0,0.002,upside,观察高盈亏比,"Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",Paraguay is a high-attention market; use it as the day's consensus benchmark.,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-12,most_watched,4,9be66e4053fc67dc,polymarket,,,Will Bosnia-Herzegovina win the 2026 FIFA World Cup?,champion_or_outright,hot,98.87,98.87,44.79,45.54,48.0,0.002,upside,观察高盈亏比,"Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",Bosnia and Herzegovina is a high-attention market; use it as the day's consensus benchmark.,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-12,most_watched,5,da126cc4e23ce443,polymarket,,,Will Scotland win the 2026 FIFA World Cup?,champion_or_outright,hot,97.91,97.91,44.98,45.64,48.0,0.003,upside,观察高盈亏比,"Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",Scotland is a high-attention market; use it as the day's consensus benchmark.,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-12,most_ignored,1,3084833b8ee0973a,polymarket,,,Will Germany win the 2026 FIFA World Cup?,champion_or_outright,hot,93.27,93.27,55.21,66.36,30.0,0.053,conservative,买 YES,"Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",Germany may be under-discussed relative to its market profile.,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-12,most_ignored,2,0538ed536224df43,polymarket,,,Will Egypt win the 2026 FIFA World Cup?,champion_or_outright,hot,95.25,95.25,54.66,57.21,48.0,0.003,upside,观察，等待条件确认,"Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",Egypt may be under-discussed relative to its market profile.,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-12,most_ignored,3,7fead0339f8f7db4,polymarket,,,Will South Korea win the 2026 FIFA World Cup?,champion_or_outright,hot,95.4,95.4,54.61,57.19,48.0,0.003,upside,观察，等待条件确认,"Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",South Korea may be under-discussed relative to its market profile.,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-12,most_ignored,4,93194fbdb63f2954,polymarket,,,Will Switzerland win the 2026 FIFA World Cup?,champion_or_outright,hot,94.67,94.67,54.41,61.43,30.0,0.013,upside,买 YES,"Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",Switzerland may be under-discussed relative to its market profile.,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-12,most_ignored,5,902334b986ab79af,polymarket,,,Will Austria win the 2026 FIFA World Cup?,champion_or_outright,hot,95.42,95.42,54.3,58.62,40.0,0.005,upside,观察，等待条件确认,"Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",Austria may be under-discussed relative to its market profile.,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-12,best_risk_reward,1,3084833b8ee0973a,polymarket,,,Will Germany win the 2026 FIFA World Cup?,champion_or_outright,hot,93.27,93.27,55.21,66.36,30.0,0.053,conservative,买 YES,"Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",Germany sits in the asymmetric watch zone; thesis quality decides whether it is actionable.,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-12,best_risk_reward,2,73530ff797ef10ed,polymarket,,,Will Brazil win the 2026 FIFA World Cup?,champion_or_outright,hot,92.98,92.98,50.51,63.78,30.0,0.085,conservative,买 YES,"Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",Brazil sits in the asymmetric watch zone; thesis quality decides whether it is actionable.,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-12,best_risk_reward,3,4deaef64eb2f7eb7,polymarket,,,Will Argentina win the 2026 FIFA World Cup?,champion_or_outright,hot,92.69,92.69,49.26,63.09,30.0,0.094,conservative,买 YES,"Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",Argentina sits in the asymmetric watch zone; thesis quality decides whether it is actionable.,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-12,best_risk_reward,4,f7f17aa5a6ad73d0,polymarket,,,Will Portugal win the 2026 FIFA World Cup?,champion_or_outright,hot,90.9,90.9,47.63,62.2,30.0,0.109,conservative,买 YES,"Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",Portugal sits in the asymmetric watch zone; thesis quality decides whether it is actionable.,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-12,best_risk_reward,5,36ff1f3bd28e0c72,polymarket,,,Will England win the 2026 FIFA World Cup?,champion_or_outright,hot,92.78,92.78,46.98,61.84,30.0,0.109,conservative,买 YES,"Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",England sits in the asymmetric watch zone; thesis quality decides whether it is actionable.,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
