team,group_code,confederation,tier,weak_team_level,strong_team_level,swing_level,attention_level,information_gap_level,likely_role,primary_opportunities,key_risks,notes
Spain,H,UEFA,elite,none,high,low,very_high,low,group_favorite,team_total;corners;qualification markets,public overpricing,
France,I,UEFA,elite,none,high,low,very_high,low,group_favorite,team_total;star player derivatives;qualification markets,star narrative overpricing,
Argentina,J,CONMEBOL,elite,none,high,low,very_high,low,group_favorite,qualification;win but under handicap,defending champion premium,
England,L,UEFA,elite,none,high,low,very_high,low,group_favorite,qualification;corners;cards against opponents,public overpricing,
Brazil,C,CONMEBOL,elite,none,high,low,very_high,low,group_favorite,team_total;handicap;corners,handicap overcrowding,
Portugal,K,UEFA,elite,none,high,low,very_high,low,group_favorite,qualification;team_total;star narrative fades,Ronaldo narrative overpricing,
Germany,E,UEFA,elite,none,high,low,high,low,group_favorite,team_total vs weak teams;corners,rotation if qualified,
Netherlands,F,UEFA,strong,none,high,medium,high,medium,group_favorite,qualification;controlled wins,price sensitivity,
Haiti,C,CONCACAF,weak,high,none,low,low,high,weak_side,opponent team total;opponent corners;cards,can still cover if market too stretched,
Curacao,E,CONCACAF,weak,high,none,low,medium,high,weak_side,opponent handicap;underdog story;cards,market may overreact to novelty,
Cape Verde,H,CAF,weak,high,none,low,low,high,weak_side,opponent team total;low block events,unknown tactical ceiling,
Jordan,J,AFC,weak,high,none,low,low,high,weak_side,opponent team total;cards;low block,experience gap,
New Zealand,G,OFC,weak,high,none,low,low,medium,weak_side,opponent team total;underdog spread,limited scoring threat,
Panama,L,CONCACAF,weak,high,none,low,medium,medium,weak_side,opponent corners;cards;spread,CONCACAF physicality can disrupt,
Colombia,K,CONMEBOL,strong,none,medium,medium,high,medium,contender,undervalued vs Portugal;qualification,group difficulty,
Uruguay,H,CONMEBOL,strong,none,medium,medium,high,medium,contender,cards;set pieces;qualification,discipline risk,
Croatia,L,UEFA,strong,none,medium,medium,very_high,low,contender,experience;draws;qualification,age and pace risk,
Switzerland,B,UEFA,strong,none,medium,medium,medium,medium,group_favorite,qualification;low variance,limited upside,
Morocco,C,CAF,strong,none,medium,medium,high,medium,contender,underdog vs Brazil;qualification,black-horse premium,
Japan,F,AFC,strong,none,medium,medium,medium,medium,contender,tempo;team total;qualification,market may underrate/overrate by opponent,
Senegal,I,CAF,strong,none,medium,medium,high,medium,contender,physical edge;qualification,France/Norway group pressure,
Norway,I,UEFA,strong,none,medium,medium,very_high,low,contender,star player derivatives;goals,star narrative overpricing,
Mexico,A,CONCACAF,strong,none,medium,medium,very_high,low,host_contender,host narrative;qualification;corners,host overpricing,
South Africa,A,CAF,weak,medium,none,medium,medium,medium,swing_underdog,underdog spread;cards;low block,opening match pressure,
South Korea,A,AFC,strong,none,medium,medium,high,medium,contender,tempo;qualification;late goals,market split by familiarity,
Czechia,A,UEFA,medium,none,low,high,medium,medium,swing_team,draws;qualification;set pieces,limited star power,
Canada,B,CONCACAF,medium,none,low,high,high,medium,host_swing,host edge;qualification;tempo,host overpricing,
Bosnia and Herzegovina,B,UEFA,medium,none,low,high,medium,high,swing_team,qualification;underdog spread,low familiarity,
Qatar,B,AFC,medium,medium,none,high,medium,medium,swing_team,low block;cards;qualification,market trust gap,
Scotland,C,UEFA,medium,none,low,high,high,medium,swing_team,underdog spread;set pieces;cards,public UK attention,
United States,D,CONCACAF,strong,none,medium,medium,very_high,low,host_contender,host narrative;qualification;corners,host overpricing,
Paraguay,D,CONMEBOL,medium,none,low,high,medium,medium,swing_team,cards;low scoring;underdog spread,physical style risk,
Australia,D,AFC,medium,none,low,high,medium,medium,swing_team,set pieces;underdog spread;cards,pace against elite sides,
Turkey,D,UEFA,strong,none,medium,high,high,medium,contender,qualification;goals;cards,volatility,
Ivory Coast,E,CAF,strong,none,medium,high,medium,medium,contender,physical edge;qualification;cards,group pressure,
Ecuador,E,CONMEBOL,strong,none,medium,medium,medium,medium,contender,qualification;undervalued vs Europe,market familiarity gap,
Sweden,F,UEFA,strong,none,medium,high,medium,medium,contender,set pieces;qualification;low scoring,hard group,
Tunisia,F,CAF,medium,medium,none,high,low,high,swing_underdog,underdog spread;low block;cards,low scoring ceiling,
Belgium,G,UEFA,strong,none,medium,medium,high,medium,group_favorite,qualification;team total,name value risk,
Egypt,G,CAF,strong,none,medium,medium,high,medium,contender,star derivatives;qualification;low scoring,Salah narrative,
Iran,G,AFC,medium,medium,none,high,medium,medium,swing_team,low block;cards;underdog spread,political noise,
Saudi Arabia,H,AFC,medium,medium,none,high,medium,medium,swing_team,underdog spread;cards;tempo,weak vs elite press,
Iraq,I,AFC,weak,medium,none,medium,low,high,weak_side,underdog spread;cards;low block,limited market familiarity,
Algeria,J,CAF,medium,none,low,high,medium,medium,swing_team,qualification;cards;set pieces,Argentina group heat,
Austria,J,UEFA,strong,none,medium,high,medium,medium,contender,pressing;qualification;team total,market may underrate structure,
DR Congo,K,CAF,medium,medium,none,high,low,high,swing_underdog,physical edge;cards;underdog spread,low familiarity,
Uzbekistan,K,AFC,medium,medium,none,high,low,high,swing_underdog,underdog spread;low scoring;qualification,low familiarity,
Ghana,L,CAF,medium,none,low,high,high,medium,swing_team,physical edge;cards;qualification,England group attention,
